region,renewresource,sub.renewable.resource,year,maxSubResource
EU-15,ArcticIsl_water withdrawals,runoff,2020,765.1548346836358
EU-15,ArcticIsl_water withdrawals,runoff,2025,680.1783266948003
EU-15,ArcticIsl_water withdrawals,runoff,2030,760.4764577051972
EU-15,ArcticIsl_water withdrawals,runoff,2035,764.7892747115923
EU-15,ArcticIsl_water withdrawals,runoff,2040,938.0476169861431
EU-15,ArcticIsl_water withdrawals,runoff,2045,906.9595962882164
EU-15,ArcticIsl_water withdrawals,runoff,2050,884.7409054865793
EU-15,ArcticIsl_water withdrawals,runoff,2055,815.2660968105806
EU-15,ArcticIsl_water withdrawals,runoff,2060,1008.5413330756986
EU-15,ArcticIsl_water withdrawals,runoff,2065,762.6019572528936
EU-15,ArcticIsl_water withdrawals,runoff,2070,795.6250398157243
EU-15,ArcticIsl_water withdrawals,runoff,2075,1058.4015566896735
EU-15,ArcticIsl_water withdrawals,runoff,2080,945.8695913010564
EU-15,ArcticIsl_water withdrawals,runoff,2085,1070.2750402561953
EU-15,ArcticIsl_water withdrawals,runoff,2090,1109.8082121035177
EU-15,ArcticIsl_water withdrawals,runoff,2095,1108.6451187151217
EU-15,ArcticIsl_water withdrawals,runoff,2100,989.8630957060093
Canada,NWTerr_water withdrawals,runoff,2020,566.7913763933462
Canada,NWTerr_water withdrawals,runoff,2025,536.1078585586936
Canada,NWTerr_water withdrawals,runoff,2030,626.1834899594176
Canada,NWTerr_water withdrawals,runoff,2035,621.0917906510434
Canada,NWTerr_water withdrawals,runoff,2040,619.4043620359668
Canada,NWTerr_water withdrawals,runoff,2045,553.8635696062158
Canada,NWTerr_water withdrawals,runoff,2050,627.2292031715999
Canada,NWTerr_water withdrawals,runoff,2055,582.5757888502046
Canada,NWTerr_water withdrawals,runoff,2060,597.4241158215252
Canada,NWTerr_water withdrawals,runoff,2065,599.8819427344109
Canada,NWTerr_water withdrawals,runoff,2070,600.8980145049657
Canada,NWTerr_water withdrawals,runoff,2075,597.8628037713422
Canada,NWTerr_water withdrawals,runoff,2080,648.595526409555
Canada,NWTerr_water withdrawals,runoff,2085,748.9658878945174
Canada,NWTerr_water withdrawals,runoff,2090,672.6953805737573
Canada,NWTerr_water withdrawals,runoff,2095,756.9959705474126
Canada,NWTerr_water withdrawals,runoff,2100,781.1517800103886
Russia,SiberiaN_water withdrawals,runoff,2020,288.7812648665195
Russia,SiberiaN_water withdrawals,runoff,2025,301.7011966715919
Russia,SiberiaN_water withdrawals,runoff,2030,253.7760307410259
Russia,SiberiaN_water withdrawals,runoff,2035,274.86252139224706
Russia,SiberiaN_water withdrawals,runoff,2040,269.1966260870196
Russia,SiberiaN_water withdrawals,runoff,2045,308.7387881210633
Russia,SiberiaN_water withdrawals,runoff,2050,292.6165509016988
Russia,SiberiaN_water withdrawals,runoff,2055,333.09283104153457
Russia,SiberiaN_water withdrawals,runoff,2060,343.7062885360054
Russia,SiberiaN_water withdrawals,runoff,2065,292.9399127188888
Russia,SiberiaN_water withdrawals,runoff,2070,323.9437649651783
Russia,SiberiaN_water withdrawals,runoff,2075,343.55879023625516
Russia,SiberiaN_water withdrawals,runoff,2080,340.0052719203552
Russia,SiberiaN_water withdrawals,runoff,2085,407.15838699516087
Russia,SiberiaN_water withdrawals,runoff,2090,351.41872489856223
Russia,SiberiaN_water withdrawals,runoff,2095,329.54766536599817
Russia,SiberiaN_water withdrawals,runoff,2100,358.17847178207916
Russia,SiberiaW_water withdrawals,runoff,2020,992.3232763465373
Russia,SiberiaW_water withdrawals,runoff,2025,993.2029504216565
Russia,SiberiaW_water withdrawals,runoff,2030,1000.7536211967708
Russia,SiberiaW_water withdrawals,runoff,2035,985.673242145964
Russia,SiberiaW_water withdrawals,runoff,2040,934.9541092384941
Russia,SiberiaW_water withdrawals,runoff,2045,1077.819905501275
Russia,SiberiaW_water withdrawals,runoff,2050,1007.8015152740052
Russia,SiberiaW_water withdrawals,runoff,2055,1120.8767397630609
Russia,SiberiaW_water withdrawals,runoff,2060,964.5707031774003
Russia,SiberiaW_water withdrawals,runoff,2065,935.2403576134341
Russia,SiberiaW_water withdrawals,runoff,2070,1009.8965480305144
Russia,SiberiaW_water withdrawals,runoff,2075,1095.095724015204
Russia,SiberiaW_water withdrawals,runoff,2080,1088.217879633749
Russia,SiberiaW_water withdrawals,runoff,2085,1119.753761679588
Russia,SiberiaW_water withdrawals,runoff,2090,1091.7383935659363
Russia,SiberiaW_water withdrawals,runoff,2095,1094.773752563322
Russia,SiberiaW_water withdrawals,runoff,2100,1110.9168599806628
Russia,KaraSea_water withdrawals,runoff,2020,212.3276756775139
Russia,KaraSea_water withdrawals,runoff,2025,213.31054760179768
Russia,KaraSea_water withdrawals,runoff,2030,204.9799902705031
Russia,KaraSea_water withdrawals,runoff,2035,226.991570474532
Russia,KaraSea_water withdrawals,runoff,2040,221.31852908389345
Russia,KaraSea_water withdrawals,runoff,2045,240.7770361161873
Russia,KaraSea_water withdrawals,runoff,2050,242.926171133377
Russia,KaraSea_water withdrawals,runoff,2055,227.65779435984078
Russia,KaraSea_water withdrawals,runoff,2060,244.51539876478017
Russia,KaraSea_water withdrawals,runoff,2065,199.49469727224437
Russia,KaraSea_water withdrawals,runoff,2070,248.86412638847636
Russia,KaraSea_water withdrawals,runoff,2075,252.5751887353907
Russia,KaraSea_water withdrawals,runoff,2080,235.76991080236093
Russia,KaraSea_water withdrawals,runoff,2085,248.68177365539867
Russia,KaraSea_water withdrawals,runoff,2090,233.3284160659001
Russia,KaraSea_water withdrawals,runoff,2095,234.12814064644618
Russia,KaraSea_water withdrawals,runoff,2100,227.0110205794619
Russia,LenaR_water withdrawals,runoff,2020,491.2461111767364
Russia,LenaR_water withdrawals,runoff,2025,517.2009249264104
Russia,LenaR_water withdrawals,runoff,2030,495.1977623305914
Russia,LenaR_water withdrawals,runoff,2035,448.2624538849004
Russia,LenaR_water withdrawals,runoff,2040,448.3441950696655
Russia,LenaR_water withdrawals,runoff,2045,488.8381632894295
Russia,LenaR_water withdrawals,runoff,2050,502.7437969224614
Russia,LenaR_water withdrawals,runoff,2055,533.3468446361184
Russia,LenaR_water withdrawals,runoff,2060,482.31559571616424
Russia,LenaR_water withdrawals,runoff,2065,466.20691681861115
Russia,LenaR_water withdrawals,runoff,2070,489.7914010590983
Russia,LenaR_water withdrawals,runoff,2075,513.464416368731
Russia,LenaR_water withdrawals,runoff,2080,480.1531864551424
Russia,LenaR_water withdrawals,runoff,2085,522.3906795084124
Russia,LenaR_water withdrawals,runoff,2090,527.9519737132784
Russia,LenaR_water withdrawals,runoff,2095,553.7422134372479
Russia,LenaR_water withdrawals,runoff,2100,523.9571337142175
USA,PacArctic_water withdrawals,runoff,2020,1427.3789881452399
USA,PacArctic_water withdrawals,runoff,2025,1603.9575636622274
USA,PacArctic_water withdrawals,runoff,2030,1622.6889248885677
USA,PacArctic_water withdrawals,runoff,2035,1607.5224427099383
USA,PacArctic_water withdrawals,runoff,2040,1694.7775604007118
USA,PacArctic_water withdrawals,runoff,2045,1631.9844169297332
USA,PacArctic_water withdrawals,runoff,2050,1621.1343708302732
USA,PacArctic_water withdrawals,runoff,2055,1652.8079681477843
USA,PacArctic_water withdrawals,runoff,2060,1740.8879636368297
USA,PacArctic_water withdrawals,runoff,2065,1613.0427675803587
USA,PacArctic_water withdrawals,runoff,2070,1679.709296218416
USA,PacArctic_water withdrawals,runoff,2075,1671.7564221021742
USA,PacArctic_water withdrawals,runoff,2080,1576.0366638740536
USA,PacArctic_water withdrawals,runoff,2085,1663.4107542821664
USA,PacArctic_water withdrawals,runoff,2090,1644.045879941723
USA,PacArctic_water withdrawals,runoff,2095,1690.6062197077456
USA,PacArctic_water withdrawals,runoff,2100,1704.360702242023
European Free Trade Association,ScndnvN_water withdrawals,runoff,2020,447.3128743590658
European Free Trade Association,ScndnvN_water withdrawals,runoff,2025,489.57752364276604
European Free Trade Association,ScndnvN_water withdrawals,runoff,2030,483.65585371340984
European Free Trade Association,ScndnvN_water withdrawals,runoff,2035,519.8944841605539
European Free Trade Association,ScndnvN_water withdrawals,runoff,2040,552.0376885562011
European Free Trade Association,ScndnvN_water withdrawals,runoff,2045,557.7144565813829
European Free Trade Association,ScndnvN_water withdrawals,runoff,2050,495.9129604634803
European Free Trade Association,ScndnvN_water withdrawals,runoff,2055,542.4798680951269
European Free Trade Association,ScndnvN_water withdrawals,runoff,2060,515.0853092273605
European Free Trade Association,ScndnvN_water withdrawals,runoff,2065,514.8493765726187
European Free Trade Association,ScndnvN_water withdrawals,runoff,2070,559.1576973895473
European Free Trade Association,ScndnvN_water withdrawals,runoff,2075,503.7868918469045
European Free Trade Association,ScndnvN_water withdrawals,runoff,2080,524.609856996796
European Free Trade Association,ScndnvN_water withdrawals,runoff,2085,540.4801492608383
European Free Trade Association,ScndnvN_water withdrawals,runoff,2090,568.0458226115932
European Free Trade Association,ScndnvN_water withdrawals,runoff,2095,509.2413803691312
European Free Trade Association,ScndnvN_water withdrawals,runoff,2100,541.6908633065302
Russia,BarentsSea_water withdrawals,runoff,2020,260.5340418241227
Russia,BarentsSea_water withdrawals,runoff,2025,272.57783272553024
Russia,BarentsSea_water withdrawals,runoff,2030,256.6333022923692
Russia,BarentsSea_water withdrawals,runoff,2035,269.06465089883
Russia,BarentsSea_water withdrawals,runoff,2040,271.844911331712
Russia,BarentsSea_water withdrawals,runoff,2045,280.4128693311892
Russia,BarentsSea_water withdrawals,runoff,2050,283.06328320434
Russia,BarentsSea_water withdrawals,runoff,2055,293.36049406411087
Russia,BarentsSea_water withdrawals,runoff,2060,300.9840076884308
Russia,BarentsSea_water withdrawals,runoff,2065,256.18740660248847
Russia,BarentsSea_water withdrawals,runoff,2070,279.9035036327247
Russia,BarentsSea_water withdrawals,runoff,2075,289.69471286492046
Russia,BarentsSea_water withdrawals,runoff,2080,268.1012244271327
