region,renewresource,sub.renewable.resource,year,maxSubResource
EU-15,ArcticIsl_water withdrawals,runoff,2020,767.6756233360868
EU-15,ArcticIsl_water withdrawals,runoff,2025,810.7230381813159
EU-15,ArcticIsl_water withdrawals,runoff,2030,826.0084017424555
EU-15,ArcticIsl_water withdrawals,runoff,2035,774.3532336025964
EU-15,ArcticIsl_water withdrawals,runoff,2040,894.4185039337572
EU-15,ArcticIsl_water withdrawals,runoff,2045,875.0070238743585
EU-15,ArcticIsl_water withdrawals,runoff,2050,954.903986148611
EU-15,ArcticIsl_water withdrawals,runoff,2055,882.8408134036359
EU-15,ArcticIsl_water withdrawals,runoff,2060,1044.1377178622392
EU-15,ArcticIsl_water withdrawals,runoff,2065,836.7735536497396
EU-15,ArcticIsl_water withdrawals,runoff,2070,833.2011385376994
EU-15,ArcticIsl_water withdrawals,runoff,2075,981.947645655725
EU-15,ArcticIsl_water withdrawals,runoff,2080,930.5061884564377
EU-15,ArcticIsl_water withdrawals,runoff,2085,1031.797835001794
EU-15,ArcticIsl_water withdrawals,runoff,2090,1201.198015550132
EU-15,ArcticIsl_water withdrawals,runoff,2095,1158.6983642329797
EU-15,ArcticIsl_water withdrawals,runoff,2100,1100.131008641068
Canada,NWTerr_water withdrawals,runoff,2020,543.0131553715062
Canada,NWTerr_water withdrawals,runoff,2025,658.8110551801082
Canada,NWTerr_water withdrawals,runoff,2030,584.5850444724175
Canada,NWTerr_water withdrawals,runoff,2035,613.1173594923961
Canada,NWTerr_water withdrawals,runoff,2040,670.4652475107258
Canada,NWTerr_water withdrawals,runoff,2045,597.1790706313997
Canada,NWTerr_water withdrawals,runoff,2050,674.4613946386892
Canada,NWTerr_water withdrawals,runoff,2055,647.1202509129234
Canada,NWTerr_water withdrawals,runoff,2060,644.4844999895757
Canada,NWTerr_water withdrawals,runoff,2065,570.8686683116184
Canada,NWTerr_water withdrawals,runoff,2070,628.5301598191236
Canada,NWTerr_water withdrawals,runoff,2075,707.6901017665532
Canada,NWTerr_water withdrawals,runoff,2080,725.6448595724921
Canada,NWTerr_water withdrawals,runoff,2085,751.0751234714887
Canada,NWTerr_water withdrawals,runoff,2090,651.830619761661
Canada,NWTerr_water withdrawals,runoff,2095,723.3912566978672
Canada,NWTerr_water withdrawals,runoff,2100,781.0828474046282
Russia,SiberiaN_water withdrawals,runoff,2020,277.22073698247124
Russia,SiberiaN_water withdrawals,runoff,2025,307.7943042571342
Russia,SiberiaN_water withdrawals,runoff,2030,249.4534869080716
Russia,SiberiaN_water withdrawals,runoff,2035,276.64339307350554
Russia,SiberiaN_water withdrawals,runoff,2040,284.35095241212673
Russia,SiberiaN_water withdrawals,runoff,2045,290.68848712151623
Russia,SiberiaN_water withdrawals,runoff,2050,304.4861229539242
Russia,SiberiaN_water withdrawals,runoff,2055,334.67144752816523
Russia,SiberiaN_water withdrawals,runoff,2060,341.51592694768334
