region,renewresource,sub.renewable.resource,year,maxSubResource
EU-15,ArcticIsl_water withdrawals,runoff,2020,759.4839710523922
EU-15,ArcticIsl_water withdrawals,runoff,2025,758.378678591129
EU-15,ArcticIsl_water withdrawals,runoff,2030,779.738096583035
EU-15,ArcticIsl_water withdrawals,runoff,2035,808.730421920964
EU-15,ArcticIsl_water withdrawals,runoff,2040,957.119995948227
EU-15,ArcticIsl_water withdrawals,runoff,2045,875.3786228976203
EU-15,ArcticIsl_water withdrawals,runoff,2050,872.1597028768922
EU-15,ArcticIsl_water withdrawals,runoff,2055,910.5885849593999
EU-15,ArcticIsl_water withdrawals,runoff,2060,947.7819097015672
EU-15,ArcticIsl_water withdrawals,runoff,2065,858.5890919901142
EU-15,ArcticIsl_water withdrawals,runoff,2070,767.1234787874192
EU-15,ArcticIsl_water withdrawals,runoff,2075,1015.4301880305604
EU-15,ArcticIsl_water withdrawals,runoff,2080,943.4328118633797
EU-15,ArcticIsl_water withdrawals,runoff,2085,1117.152428358975
EU-15,ArcticIsl_water withdrawals,runoff,2090,1118.181745606375
EU-15,ArcticIsl_water withdrawals,runoff,2095,1119.7250221815693
EU-15,ArcticIsl_water withdrawals,runoff,2100,1061.8660458087209
Canada,NWTerr_water withdrawals,runoff,2020,558.2981081822909
Canada,NWTerr_water withdrawals,runoff,2025,584.079847002241
Canada,NWTerr_water withdrawals,runoff,2030,541.5258609603286
Canada,NWTerr_water withdrawals,runoff,2035,597.764068737573
Canada,NWTerr_water withdrawals,runoff,2040,582.2887855803835
Canada,NWTerr_water withdrawals,runoff,2045,507.0563321157736
Canada,NWTerr_water withdrawals,runoff,2050,523.8129604228752
Canada,NWTerr_water withdrawals,runoff,2055,700.36659647873
Canada,NWTerr_water withdrawals,runoff,2060,569.3964528354958
Canada,NWTerr_water withdrawals,runoff,2065,636.5139302666682
Canada,NWTerr_water withdrawals,runoff,2070,702.5415817474079
Canada,NWTerr_water withdrawals,runoff,2075,584.4616724494628
Canada,NWTerr_water withdrawals,runoff,2080,697.5242087502926
Canada,NWTerr_water withdrawals,runoff,2085,793.4836667683542
Canada,NWTerr_water withdrawals,runoff,2090,566.3494325607509
Canada,NWTerr_water withdrawals,runoff,2095,764.6936980293003
Canada,NWTerr_water withdrawals,runoff,2100,762.0700157107457
Russia,SiberiaN_water withdrawals,runoff,2020,282.0593954706627
Russia,SiberiaN_water withdrawals,runoff,2025,303.2525600133111
Russia,SiberiaN_water withdrawals,runoff,2030,249.17045991226956
Russia,SiberiaN_water withdrawals,runoff,2035,289.4471124462965
Russia,SiberiaN_water withdrawals,runoff,2040,272.4958282048538
Russia,SiberiaN_water withdrawals,runoff,2045,283.58225021113685
Russia,SiberiaN_water withdrawals,runoff,2050,259.56236299571054
Russia,SiberiaN_water withdrawals,runoff,2055,332.88315624508425
Russia,SiberiaN_water withdrawals,runoff,2060,325.7418349755732
Russia,SiberiaN_water withdrawals,runoff,2065,315.45056104125683
Russia,SiberiaN_water withdrawals,runoff,2070,322.5124622319503
Russia,SiberiaN_water withdrawals,runoff,2075,349.0720379565063
Russia,SiberiaN_water withdrawals,runoff,2080,342.15275087578624
Russia,SiberiaN_water withdrawals,runoff,2085,377.0252978450586
Russia,SiberiaN_water withdrawals,runoff,2090,361.09142363193826
Russia,SiberiaN_water withdrawals,runoff,2095,323.8083108884106
Russia,SiberiaN_water withdrawals,runoff,2100,371.4679230355099
Russia,SiberiaW_water withdrawals,runoff,2020,999.5656834138059
Russia,SiberiaW_water withdrawals,runoff,2025,933.5995347386086
Russia,SiberiaW_water withdrawals,runoff,2030,938.8310980491855
Russia,SiberiaW_water withdrawals,runoff,2035,1016.5399278608944
Russia,SiberiaW_water withdrawals,runoff,2040,996.1378686025644
Russia,SiberiaW_water withdrawals,runoff,2045,1048.4347705846747
Russia,SiberiaW_water withdrawals,runoff,2050,940.5918680305037
Russia,SiberiaW_water withdrawals,runoff,2055,1097.5504639346436
Russia,SiberiaW_water withdrawals,runoff,2060,955.3102920995732
Russia,SiberiaW_water withdrawals,runoff,2065,942.5245935440682
Russia,SiberiaW_water withdrawals,runoff,2070,1048.40655958001
Russia,SiberiaW_water withdrawals,runoff,2075,1174.536037596899
Russia,SiberiaW_water withdrawals,runoff,2080,1105.8228428690581
Russia,SiberiaW_water withdrawals,runoff,2085,1075.0228167542123
Russia,SiberiaW_water withdrawals,runoff,2090,1081.1766099370939
Russia,SiberiaW_water withdrawals,runoff,2095,1114.1471840975742
Russia,SiberiaW_water withdrawals,runoff,2100,1108.8807499432155
