region,renewresource,sub.renewable.resource,year,maxSubResource
EU-15,ArcticIsl_water withdrawals,runoff,2020,776.0854448737058
EU-15,ArcticIsl_water withdrawals,runoff,2025,754.1957026131818
EU-15,ArcticIsl_water withdrawals,runoff,2030,725.6984293597885
EU-15,ArcticIsl_water withdrawals,runoff,2035,713.5998758935564
EU-15,ArcticIsl_water withdrawals,runoff,2040,880.1817485469082
EU-15,ArcticIsl_water withdrawals,runoff,2045,885.0827127460732
EU-15,ArcticIsl_water withdrawals,runoff,2050,945.3965316203673
EU-15,ArcticIsl_water withdrawals,runoff,2055,898.0332920614579
EU-15,ArcticIsl_water withdrawals,runoff,2060,959.1446928743766
EU-15,ArcticIsl_water withdrawals,runoff,2065,831.0608667691528
EU-15,ArcticIsl_water withdrawals,runoff,2070,777.5713320275593
EU-15,ArcticIsl_water withdrawals,runoff,2075,938.4294715354384
EU-15,ArcticIsl_water withdrawals,runoff,2080,947.5736212296775
EU-15,ArcticIsl_water withdrawals,runoff,2085,1044.4016334479013
EU-15,ArcticIsl_water withdrawals,runoff,2090,1168.0409106689847
EU-15,ArcticIsl_water withdrawals,runoff,2095,1080.2509344930768
EU-15,ArcticIsl_water withdrawals,runoff,2100,1051.0892546346195
Canada,NWTerr_water withdrawals,runoff,2020,566.2182644931111
Canada,NWTerr_water withdrawals,runoff,2025,644.6206012109328
Canada,NWTerr_water withdrawals,runoff,2030,611.5920564493897
Canada,NWTerr_water withdrawals,runoff,2035,617.7437354804828
Canada,NWTerr_water withdrawals,runoff,2040,584.9949758546651
Canada,NWTerr_water withdrawals,runoff,2045,599.6684593921843
Canada,NWTerr_water withdrawals,runoff,2050,629.0508259633937
Canada,NWTerr_water withdrawals,runoff,2055,562.979162913356
Canada,NWTerr_water withdrawals,runoff,2060,659.2913798858988
Canada,NWTerr_water withdrawals,runoff,2065,631.4244143491629
Canada,NWTerr_water withdrawals,runoff,2070,614.1863925795037
Canada,NWTerr_water withdrawals,runoff,2075,587.6690329546533
Canada,NWTerr_water withdrawals,runoff,2080,698.7259816994049
Canada,NWTerr_water withdrawals,runoff,2085,722.8584277514445
Canada,NWTerr_water withdrawals,runoff,2090,654.0160061774601
Canada,NWTerr_water withdrawals,runoff,2095,707.7120396952516
Canada,NWTerr_water withdrawals,runoff,2100,740.0215964050419
Russia,SiberiaN_water withdrawals,runoff,2020,290.93322231733646
Russia,SiberiaN_water withdrawals,runoff,2025,301.6088690038402
Russia,SiberiaN_water withdrawals,runoff,2030,263.767433328195
Russia,SiberiaN_water withdrawals,runoff,2035,266.74396299626574
Russia,SiberiaN_water withdrawals,runoff,2040,284.78284763064977
Russia,SiberiaN_water withdrawals,runoff,2045,301.95392486786415
Russia,SiberiaN_water withdrawals,runoff,2050,272.5315224576203
Russia,SiberiaN_water withdrawals,runoff,2055,327.7552944577731
Russia,SiberiaN_water withdrawals,runoff,2060,326.8444172581377
Russia,SiberiaN_water withdrawals,runoff,2065,290.52489364949145
Russia,SiberiaN_water withdrawals,runoff,2070,307.59968848629563
Russia,SiberiaN_water withdrawals,runoff,2075,327.94193925149887
Russia,SiberiaN_water withdrawals,runoff,2080,357.0316105804997
Russia,SiberiaN_water withdrawals,runoff,2085,391.4418732190229
Russia,SiberiaN_water withdrawals,runoff,2090,371.070836422536
Russia,SiberiaN_water withdrawals,runoff,2095,341.6345134231329
Russia,SiberiaN_water withdrawals,runoff,2100,354.9355521466091
Russia,SiberiaW_water withdrawals,runoff,2020,1014.1233880267961
Russia,SiberiaW_water withdrawals,runoff,2025,928.0317368588424
Russia,SiberiaW_water withdrawals,runoff,2030,1012.2810812786614
Russia,SiberiaW_water withdrawals,runoff,2035,1003.2657213553337
Russia,SiberiaW_water withdrawals,runoff,2040,968.5004828119694
Russia,SiberiaW_water withdrawals,runoff,2045,1058.7678242394395
Russia,SiberiaW_water withdrawals,runoff,2050,1045.910878719224
Russia,SiberiaW_water withdrawals,runoff,2055,1086.8042890630513
Russia,SiberiaW_water withdrawals,runoff,2060,1019.5645100353606
Russia,SiberiaW_water withdrawals,runoff,2065,985.5215470877814
Russia,SiberiaW_water withdrawals,runoff,2070,1003.8678543339804
Russia,SiberiaW_water withdrawals,runoff,2075,1165.1524197991505
Russia,SiberiaW_water withdrawals,runoff,2080,1073.749729663918
Russia,SiberiaW_water withdrawals,runoff,2085,1100.55779277815
Russia,SiberiaW_water withdrawals,runoff,2090,1047.8880316773498
Russia,SiberiaW_water withdrawals,runoff,2095,1112.772139011459
Russia,SiberiaW_water withdrawals,runoff,2100,1117.2539383752808
Russia,KaraSea_water withdrawals,runoff,2020,212.09976085192505
Russia,KaraSea_water withdrawals,runoff,2025,208.46324906000095
Russia,KaraSea_water withdrawals,runoff,2030,190.49669277869265
Russia,KaraSea_water withdrawals,runoff,2035,222.4295051407838
Russia,KaraSea_water withdrawals,runoff,2040,234.51651140323838
Russia,KaraSea_water withdrawals,runoff,2045,222.30510989618497
Russia,KaraSea_water withdrawals,runoff,2050,233.66117318748155
Russia,KaraSea_water withdrawals,runoff,2055,241.95738200052492
Russia,KaraSea_water withdrawals,runoff,2060,238.67789037006142
Russia,KaraSea_water withdrawals,runoff,2065,207.74162153769066
Russia,KaraSea_water withdrawals,runoff,2070,249.45065851194173
Russia,KaraSea_water withdrawals,runoff,2075,233.8593019577654
Russia,KaraSea_water withdrawals,runoff,2080,233.1333878114332
Russia,KaraSea_water withdrawals,runoff,2085,257.67915479891917
Russia,KaraSea_water withdrawals,runoff,2090,239.71510906815874
Russia,KaraSea_water withdrawals,runoff,2095,230.7500902009079
Russia,KaraSea_water withdrawals,runoff,2100,228.99286595080343
Russia,LenaR_water withdrawals,runoff,2020,499.6283559357059
Russia,LenaR_water withdrawals,runoff,2025,503.6035104993316
Russia,LenaR_water withdrawals,runoff,2030,512.7989821683676
Russia,LenaR_water withdrawals,runoff,2035,463.8243724284458
Russia,LenaR_water withdrawals,runoff,2040,452.60557793678254
Russia,LenaR_water withdrawals,runoff,2045,493.05401632944114
Russia,LenaR_water withdrawals,runoff,2050,500.59895299431736
Russia,LenaR_water withdrawals,runoff,2055,522.8387902184866
Russia,LenaR_water withdrawals,runoff,2060,498.36616388506644
Russia,LenaR_water withdrawals,runoff,2065,449.01341058421866
