region,renewresource,sub.renewable.resource,year,maxSubResource
EU-15,ArcticIsl_water withdrawals,runoff,2020,767.0750254762279
EU-15,ArcticIsl_water withdrawals,runoff,2025,773.3436875152414
EU-15,ArcticIsl_water withdrawals,runoff,2030,797.6514500669169
EU-15,ArcticIsl_water withdrawals,runoff,2035,761.2852012839173
EU-15,ArcticIsl_water withdrawals,runoff,2040,920.0962699282776
EU-15,ArcticIsl_water withdrawals,runoff,2045,841.1365201468685
EU-15,ArcticIsl_water withdrawals,runoff,2050,898.3582472385185
EU-15,ArcticIsl_water withdrawals,runoff,2055,844.3393945614262
EU-15,ArcticIsl_water withdrawals,runoff,2060,1016.4983427325366
EU-15,ArcticIsl_water withdrawals,runoff,2065,802.5921497133666
EU-15,ArcticIsl_water withdrawals,runoff,2070,823.1608828589008
EU-15,ArcticIsl_water withdrawals,runoff,2075,1044.5430118128106
EU-15,ArcticIsl_water withdrawals,runoff,2080,962.8279211307323
EU-15,ArcticIsl_water withdrawals,runoff,2085,1027.7773917994914
EU-15,ArcticIsl_water withdrawals,runoff,2090,1162.6761013712064
EU-15,ArcticIsl_water withdrawals,runoff,2095,1102.6660385221617
EU-15,ArcticIsl_water withdrawals,runoff,2100,1009.0694446455124
Canada,NWTerr_water withdrawals,runoff,2020,573.6786833377047
Canada,NWTerr_water withdrawals,runoff,2025,636.4128210665889
Canada,NWTerr_water withdrawals,runoff,2030,538.2314204045548
Canada,NWTerr_water withdrawals,runoff,2035,584.7420263048463
Canada,NWTerr_water withdrawals,runoff,2040,623.7113118639403
Canada,NWTerr_water withdrawals,runoff,2045,673.4548093860071
Canada,NWTerr_water withdrawals,runoff,2050,558.8973631479093
Canada,NWTerr_water withdrawals,runoff,2055,583.7449866397243
Canada,NWTerr_water withdrawals,runoff,2060,668.8016036687064
Canada,NWTerr_water withdrawals,runoff,2065,653.8249382910446
Canada,NWTerr_water withdrawals,runoff,2070,564.2668875571513
Canada,NWTerr_water withdrawals,runoff,2075,643.2022230383931
Canada,NWTerr_water withdrawals,runoff,2080,706.0998767589379
Canada,NWTerr_water withdrawals,runoff,2085,762.8027156098244
Canada,NWTerr_water withdrawals,runoff,2090,609.9101942425478
Canada,NWTerr_water withdrawals,runoff,2095,760.4202122783388
Canada,NWTerr_water withdrawals,runoff,2100,739.4616109376195
Russia,SiberiaN_water withdrawals,runoff,2020,290.4393930933329
Russia,SiberiaN_water withdrawals,runoff,2025,304.85705039874404
Russia,SiberiaN_water withdrawals,runoff,2030,253.65038198365477
Russia,SiberiaN_water withdrawals,runoff,2035,280.4147997972269
Russia,SiberiaN_water withdrawals,runoff,2040,285.7730559331708
Russia,SiberiaN_water withdrawals,runoff,2045,304.74906190053014
Russia,SiberiaN_water withdrawals,runoff,2050,286.14318959274004
Russia,SiberiaN_water withdrawals,runoff,2055,340.0888913469404
Russia,SiberiaN_water withdrawals,runoff,2060,350.414454055466
Russia,SiberiaN_water withdrawals,runoff,2065,321.0097545051708
Russia,SiberiaN_water withdrawals,runoff,2070,330.21594701346737
Russia,SiberiaN_water withdrawals,runoff,2075,346.66731070615987
Russia,SiberiaN_water withdrawals,runoff,2080,342.3780237785706
Russia,SiberiaN_water withdrawals,runoff,2085,374.5580438745254
Russia,SiberiaN_water withdrawals,runoff,2090,355.98648535359547
Russia,SiberiaN_water withdrawals,runoff,2095,345.71297109481173
Russia,SiberiaN_water withdrawals,runoff,2100,370.94896957055425
Russia,SiberiaW_water withdrawals,runoff,2020,987.9887420651108
Russia,SiberiaW_water withdrawals,runoff,2025,906.8880675807525
Russia,SiberiaW_water withdrawals,runoff,2030,1010.6586982078109
Russia,SiberiaW_water withdrawals,runoff,2035,971.7022318515608
Russia,SiberiaW_water withdrawals,runoff,2040,1024.0725912751618
Russia,SiberiaW_water withdrawals,runoff,2045,1108.9736930903061
Russia,SiberiaW_water withdrawals,runoff,2050,1032.6260131966908
Russia,SiberiaW_water withdrawals,runoff,2055,1090.0970206443758
Russia,SiberiaW_water withdrawals,runoff,2060,1048.2906249699377
Russia,SiberiaW_water withdrawals,runoff,2065,984.270956959212
Russia,SiberiaW_water withdrawals,runoff,2070,999.5712135998641
Russia,SiberiaW_water withdrawals,runoff,2075,1074.4727986854778
Russia,SiberiaW_water withdrawals,runoff,2080,1135.9045359580846
Russia,SiberiaW_water withdrawals,runoff,2085,1062.336110333635
Russia,SiberiaW_water withdrawals,runoff,2090,1034.4306360652095
Russia,SiberiaW_water withdrawals,runoff,2095,1169.4905082053906
Russia,SiberiaW_water withdrawals,runoff,2100,1107.847692402074
Russia,KaraSea_water withdrawals,runoff,2020,216.07328057760054
Russia,KaraSea_water withdrawals,runoff,2025,213.5279877254772
Russia,KaraSea_water withdrawals,runoff,2030,193.50122149822573
Russia,KaraSea_water withdrawals,runoff,2035,208.1527387463751
Russia,KaraSea_water withdrawals,runoff,2040,221.49433647889117
Russia,KaraSea_water withdrawals,runoff,2045,216.83960079889007
Russia,KaraSea_water withdrawals,runoff,2050,236.03440113187565
Russia,KaraSea_water withdrawals,runoff,2055,226.8514474714757
Russia,KaraSea_water withdrawals,runoff,2060,229.46708551252883
Russia,KaraSea_water withdrawals,runoff,2065,211.94640582877287
Russia,KaraSea_water withdrawals,runoff,2070,258.6276309320806
Russia,KaraSea_water withdrawals,runoff,2075,231.81388961509737
Russia,KaraSea_water withdrawals,runoff,2080,222.0142674480009
Russia,KaraSea_water withdrawals,runoff,2085,250.98633293764868
Russia,KaraSea_water withdrawals,runoff,2090,218.96360347748973
Russia,KaraSea_water withdrawals,runoff,2095,234.86820734563304
Russia,KaraSea_water withdrawals,runoff,2100,236.39141167544267
Russia,LenaR_water withdrawals,runoff,2020,481.68122310682577
Russia,LenaR_water withdrawals,runoff,2025,494.1401846881507
Russia,LenaR_water withdrawals,runoff,2030,499.9810439969298
Russia,LenaR_water withdrawals,runoff,2035,465.762123788367
Russia,LenaR_water withdrawals,runoff,2040,482.521087320932
Russia,LenaR_water withdrawals,runoff,2045,491.21328611678985
Russia,LenaR_water withdrawals,runoff,2050,536.679298548619
Russia,LenaR_water withdrawals,runoff,2055,540.3816924257236
Russia,LenaR_water withdrawals,runoff,2060,491.9144412585841
Russia,LenaR_water withdrawals,runoff,2065,469.36481635097164
Russia,LenaR_water withdrawals,runoff,2070,505.4790830355628
Russia,LenaR_water withdrawals,runoff,2075,519.2378169489521
Russia,LenaR_water withdrawals,runoff,2080,489.3888364806613
Russia,LenaR_water withdrawals,runoff,2085,512.2431945732333
Russia,LenaR_water withdrawals,runoff,2090,502.4123492210777
Russia,LenaR_water withdrawals,runoff,2095,579.1857213505202
Russia,LenaR_water withdrawals,runoff,2100,535.0537053154351
USA,PacArctic_water withdrawals,runoff,2020,1458.7106285770558
USA,PacArctic_water withdrawals,runoff,2025,1609.8187295248931
USA,PacArctic_water withdrawals,runoff,2030,1570.7888929576945
USA,PacArctic_water withdrawals,runoff,2035,1564.920593833322
USA,PacArctic_water withdrawals,runoff,2040,1646.2177659275687
USA,PacArctic_water withdrawals,runoff,2045,1653.0321184135748
USA,PacArctic_water withdrawals,runoff,2050,1607.2835041063458
USA,PacArctic_water withdrawals,runoff,2055,1631.9336820310907
USA,PacArctic_water withdrawals,runoff,2060,1686.9866642350166
USA,PacArctic_water withdrawals,runoff,2065,1702.2156877337088
USA,PacArctic_water withdrawals,runoff,2070,1704.5772155919453
USA,PacArctic_water withdrawals,runoff,2075,1658.834558039121
USA,PacArctic_water withdrawals,runoff,2080,1659.6758745037598
USA,PacArctic_water withdrawals,runoff,2085,1705.7195489481678
USA,PacArctic_water withdrawals,runoff,2090,1646.4387681411336
USA,PacArctic_water withdrawals,runoff,2095,1708.013336171361
USA,PacArctic_water withdrawals,runoff,2100,1569.232773370709
European Free Trade Association,ScndnvN_water withdrawals,runoff,2020,457.0861529189262
European Free Trade Association,ScndnvN_water withdrawals,runoff,2025,508.4353203562726
European Free Trade Association,ScndnvN_water withdrawals,runoff,2030,475.4217230759694
