basin_id,basin_name,year,q_fut
2,Northwest Territories,2054,637.7264087564448
2,Northwest Territories,2055,528.8731707829794
2,Northwest Territories,2056,615.6884436638873
2,Northwest Territories,2057,674.3172020985118
2,Northwest Territories,2058,557.1269165028257
2,Northwest Territories,2059,667.0062284175658
2,Northwest Territories,2060,725.5785152558967
2,Northwest Territories,2061,688.1139622738938
2,Northwest Territories,2062,788.1906406398923
2,Northwest Territories,2063,596.0391183995058
2,Northwest Territories,2064,718.530545514124
2,Northwest Territories,2065,715.7888404158332
2,Northwest Territories,2066,684.2342759387102
2,Northwest Territories,2067,717.6188266052455
2,Northwest Territories,2068,679.0333772852298
2,Northwest Territories,2069,602.9183917274628
2,Northwest Territories,2070,631.0429349227692
2,Northwest Territories,2071,566.7060112665838
2,Northwest Territories,2072,615.527105972721
2,Northwest Territories,2073,773.7898333480796
2,Northwest Territories,2074,681.5330828886955
2,Northwest Territories,2075,643.4756273720561
2,Northwest Territories,2076,675.4784224356935
2,Northwest Territories,2077,624.1028443326293
2,Northwest Territories,2078,709.6321558263671
2,Northwest Territories,2079,1029.810947794979
2,Northwest Territories,2080,676.22826574245
2,Northwest Territories,2081,801.9101771613267
2,Northwest Territories,2082,743.7572043748467
2,Northwest Territories,2083,769.9999894383844
2,Northwest Territories,2084,866.8444152929854
2,Northwest Territories,2085,701.5170502140676
2,Northwest Territories,2086,692.790718222517
2,Northwest Territories,2087,695.6138562224656
2,Northwest Territories,2088,688.9287738788572
2,Northwest Territories,2089,757.7604126741843
2,Northwest Territories,2090,791.1082785668078
2,Northwest Territories,2091,771.5853791797716
2,Northwest Territories,2092,796.2435453634989
2,Northwest Territories,2093,773.1938736647888
2,Northwest Territories,2094,830.7620008427562
2,Northwest Territories,2095,795.469516632068
2,Northwest Territories,2096,915.6241123557478
2,Northwest Territories,2097,802.2224383748991
2,Northwest Territories,2098,788.2577091794564
2,Northwest Territories,2099,699.0660791774229
2,Northwest Territories,2100,716.5092695813324
3,Siberia North Coast,2020,369.8492498918322
3,Siberia North Coast,2021,340.716459970922
3,Siberia North Coast,2022,297.99403808711776
3,Siberia North Coast,2023,349.02452750444445
3,Siberia North Coast,2024,331.2006255094414
3,Siberia North Coast,2025,356.28176533562305
3,Siberia North Coast,2026,282.58662754458345
3,Siberia North Coast,2027,219.8290712785992
3,Siberia North Coast,2028,253.0572133219369
3,Siberia North Coast,2029,293.63383261590127
3,Siberia North Coast,2030,286.4564648889644
3,Siberia North Coast,2031,318.6512334224897
3,Siberia North Coast,2032,319.96739841535714
3,Siberia North Coast,2033,300.80432844293716
3,Siberia North Coast,2034,297.55791374698316
3,Siberia North Coast,2035,271.151933494789
3,Siberia North Coast,2036,252.44766025359374
3,Siberia North Coast,2037,316.80446775565525
3,Siberia North Coast,2038,282.3036681130271
3,Siberia North Coast,2039,262.4445335081319
3,Siberia North Coast,2040,357.2142442668838
3,Siberia North Coast,2041,322.7964240550327
3,Siberia North Coast,2042,349.8810624024113
3,Siberia North Coast,2043,329.3053419772999
3,Siberia North Coast,2044,338.08129728984505
3,Siberia North Coast,2045,265.02972869181826
3,Siberia North Coast,2046,233.49531699762926
3,Siberia North Coast,2047,332.0286007844442
3,Siberia North Coast,2048,280.23977692163044
3,Siberia North Coast,2049,402.6279265653611
3,Siberia North Coast,2050,312.9026984675521
3,Siberia North Coast,2051,283.57452605059524
3,Siberia North Coast,2052,377.11698361611866
3,Siberia North Coast,2053,382.244411244564
3,Siberia North Coast,2054,374.32056512670965
3,Siberia North Coast,2055,358.10278470746806
3,Siberia North Coast,2056,399.498749052304
3,Siberia North Coast,2057,351.4927538683678
3,Siberia North Coast,2058,358.3499869066943
3,Siberia North Coast,2059,298.5785970044988
3,Siberia North Coast,2060,414.7023856357434
3,Siberia North Coast,2061,383.6469185062283
3,Siberia North Coast,2062,343.5260007634024
3,Siberia North Coast,2063,303.3716292816284
3,Siberia North Coast,2064,298.35314987895026
3,Siberia North Coast,2065,363.204665484883
3,Siberia North Coast,2066,335.12515674450634
3,Siberia North Coast,2067,394.12199498757934
3,Siberia North Coast,2068,403.6464042606409
3,Siberia North Coast,2069,305.61234370468105
3,Siberia North Coast,2070,343.99498407903616
3,Siberia North Coast,2071,472.4034929299347
3,Siberia North Coast,2072,305.195688221304
3,Siberia North Coast,2073,346.1397617114077
3,Siberia North Coast,2074,318.6701845671833
3,Siberia North Coast,2075,425.2436192404997
3,Siberia North Coast,2076,356.0160097100601
3,Siberia North Coast,2077,404.5605835205437
3,Siberia North Coast,2078,332.604378292629
3,Siberia North Coast,2079,467.47347234409233
3,Siberia North Coast,2080,310.30158709571793
3,Siberia North Coast,2081,387.18626372083327
3,Siberia North Coast,2082,434.80954915549887
3,Siberia North Coast,2083,476.551877866489
