basin_id,basin_name,year,q_obs,q_det
1,Arctic Ocean Islands,1901,821.7667032333892,296.3211326386263
1,Arctic Ocean Islands,1902,783.9006119078384,427.8794705466147
1,Arctic Ocean Islands,1903,780.5304175141072,440.23462814133785
1,Arctic Ocean Islands,1904,550.9573920155573,371.35429019554397
1,Arctic Ocean Islands,1905,602.4872478957155,362.6795197382076
1,Arctic Ocean Islands,1906,629.8376898554218,395.6801500139229
1,Arctic Ocean Islands,1907,660.2524578728073,435.3176164885623
1,Arctic Ocean Islands,1908,876.7585346073187,685.7368649752482
1,Arctic Ocean Islands,1909,765.1132418063662,448.2592675730061
1,Arctic Ocean Islands,1910,676.5796405994491,454.7883984886154
1,Arctic Ocean Islands,1911,811.3332727315048,475.54277517501293
1,Arctic Ocean Islands,1912,687.0857756532374,464.9292302747301
1,Arctic Ocean Islands,1913,704.9918184873204,441.25604136958657
1,Arctic Ocean Islands,1914,656.4909011370426,387.1064700184952
1,Arctic Ocean Islands,1915,801.1074341906791,568.3386830588645
1,Arctic Ocean Islands,1916,715.7983372543216,468.56964716163037
1,Arctic Ocean Islands,1917,697.1683644345602,789.1547183557342
1,Arctic Ocean Islands,1918,728.100699126469,534.9601059271047
1,Arctic Ocean Islands,1919,637.4425113945176,442.487617400793
1,Arctic Ocean Islands,1920,626.9566706373208,481.2274388146418
1,Arctic Ocean Islands,1921,753.0693423420049,471.1628102467939
1,Arctic Ocean Islands,1922,684.1517711304765,443.5238042837508
1,Arctic Ocean Islands,1923,839.2218739698171,533.2549339789383
1,Arctic Ocean Islands,1924,680.268296387933,468.3980612326541
1,Arctic Ocean Islands,1925,725.0115010100974,426.9213028149223
1,Arctic Ocean Islands,1926,693.0723517185513,702.4275425776751
1,Arctic Ocean Islands,1927,824.6053285533793,652.2191941271292
1,Arctic Ocean Islands,1928,851.934536249464,748.1360361545965
1,Arctic Ocean Islands,1929,876.369410891321,827.1443600632168
1,Arctic Ocean Islands,1930,706.6223189030482,526.9099614111735
1,Arctic Ocean Islands,1931,730.8547975432679,699.6112040999719
1,Arctic Ocean Islands,1932,816.0186372465624,655.3694276674807
1,Arctic Ocean Islands,1933,793.3668219134507,578.8023648603792
1,Arctic Ocean Islands,1934,714.0053517311579,583.2541446908574
1,Arctic Ocean Islands,1935,626.0303618613232,508.95203152402877
1,Arctic Ocean Islands,1936,904.493936382066,841.8659727765936
1,Arctic Ocean Islands,1937,725.7283197500508,504.98970781800824
1,Arctic Ocean Islands,1938,707.7490338385644,530.9708094163745
1,Arctic Ocean Islands,1939,904.4442861883656,672.6209776732198
1,Arctic Ocean Islands,1940,720.2490353811268,509.6153495106631
1,Arctic Ocean Islands,1941,706.5759330601429,539.1351670558544
1,Arctic Ocean Islands,1942,782.6249107552857,605.4231308102512
1,Arctic Ocean Islands,1943,686.5023557631843,522.263308761194
1,Arctic Ocean Islands,1944,698.8090363511991,478.09608701970194
1,Arctic Ocean Islands,1945,822.9505342879957,495.13472267234283
1,Arctic Ocean Islands,1946,698.5211802208818,519.367353731576
1,Arctic Ocean Islands,1947,673.4195455789556,660.0138058267759
1,Arctic Ocean Islands,1948,781.4006479176654,692.2134777575928
1,Arctic Ocean Islands,1949,703.130859096787,725.3919750855911
1,Arctic Ocean Islands,1950,665.6761457996492,713.886233637189
1,Arctic Ocean Islands,1951,572.4840764308291,488.7641135506767
1,Arctic Ocean Islands,1952,676.5885663398092,459.61270576007826
1,Arctic Ocean Islands,1953,668.5137090311016,617.1269428175158
1,Arctic Ocean Islands,1954,660.6291108762025,524.573161164535
1,Arctic Ocean Islands,1955,594.4363336733169,369.3831313644146
1,Arctic Ocean Islands,1956,680.4604375418596,587.793396751196
1,Arctic Ocean Islands,1957,734.2934538701816,655.4409857240099
1,Arctic Ocean Islands,1958,757.8164645848068,726.3935683239537
1,Arctic Ocean Islands,1959,726.298247806389,476.8985810398475
1,Arctic Ocean Islands,1960,794.2888262528766,700.0965280305861
1,Arctic Ocean Islands,1961,738.6841998003879,584.0714497387597
1,Arctic Ocean Islands,1962,712.6326817021758,548.520561150227
1,Arctic Ocean Islands,1963,674.8605755060075,486.4439977436021
1,Arctic Ocean Islands,1964,749.5939385635842,503.50114136805877
1,Arctic Ocean Islands,1965,759.7745300939418,765.8163697934215
1,Arctic Ocean Islands,1966,635.7580733901335,558.7861351445683
1,Arctic Ocean Islands,1967,738.7665142477819,537.1610600543524
1,Arctic Ocean Islands,1968,688.8257028102635,537.1993097945365
1,Arctic Ocean Islands,1969,617.1794729798354,490.134257676697
1,Arctic Ocean Islands,1970,714.5780790402827,424.42117141179733
1,Arctic Ocean Islands,1971,776.3747418139834,576.5275585111378
1,Arctic Ocean Islands,1972,746.8206276634406,461.030439430046
1,Arctic Ocean Islands,1973,698.1852355560168,522.9300616730187
1,Arctic Ocean Islands,1974,739.8179437443467,602.9179851176544
1,Arctic Ocean Islands,1975,775.9585697266884,507.0467831837264
1,Arctic Ocean Islands,1976,797.180637190124,565.5514799918145
1,Arctic Ocean Islands,1977,732.6389261404224,653.5159478125269
1,Arctic Ocean Islands,1978,790.796396046959,839.6242303459262
1,Arctic Ocean Islands,1979,615.1085208739108,531.5232850017359
1,Arctic Ocean Islands,1980,648.1978621181936,483.9245300847357
1,Arctic Ocean Islands,1981,665.7718776493211,526.4887622917547
1,Arctic Ocean Islands,1982,588.7746224419898,417.37830096344857
1,Arctic Ocean Islands,1983,696.0749576649357,427.5018499256152
1,Arctic Ocean Islands,1984,731.7304123918893,783.8771865645058
1,Arctic Ocean Islands,1985,604.3866775159344,468.35858432488345
1,Arctic Ocean Islands,1986,568.1300600915106,421.6469265375982
1,Arctic Ocean Islands,1987,735.5839336950027,499.9458791439439
1,Arctic Ocean Islands,1988,668.6626422111228,469.3729547783004
1,Arctic Ocean Islands,1989,648.3083604223797,404.28778997071703
1,Arctic Ocean Islands,1990,764.934149932474,606.9850559177175
1,Arctic Ocean Islands,1991,850.1316981594258,775.7708217222694
1,Arctic Ocean Islands,1992,624.4348870943597,402.0451111084645
1,Arctic Ocean Islands,1993,612.6936245195644,534.2901423500399
1,Arctic Ocean Islands,1994,651.5896872257064,518.0742177975144
